user_id,sim_last_change,device_id,is_fraudulent,kyc_level,account_age_days
U0000,2025-06-25 11:54:55.563159,DEV_5506,False,basic,229
U0001,2026-03-08 11:54:55.563197,DEV_9935,False,basic,605
U0002,2025-10-14 11:54:55.563209,DEV_2535,True,basic,239
U0003,2025-09-02 11:54:55.563215,DEV_4257,False,premium,666
U0004,2025-05-24 11:54:55.563221,DEV_4611,False,verified,604
U0005,2025-12-27 11:54:55.563226,DEV_1106,False,basic,715
U0006,2025-10-14 11:54:55.563232,DEV_3547,False,basic,345
U0007,2026-03-27 11:54:55.563237,DEV_2584,True,verified,353
U0008,2025-07-13 11:54:55.563242,DEV_1711,False,premium,471
U0009,2025-08-17 11:54:55.563248,DEV_7201,False,basic,566
U0010,2025-12-19 11:54:55.563253,DEV_6925,False,premium,197
U0011,2025-05-23 11:54:55.563258,DEV_4733,True,verified,82
U0012,2026-01-19 11:54:55.563264,DEV_7227,False,verified,465
U0013,2025-06-27 11:54:55.563269,DEV_3664,False,verified,364
U0014,2026-01-31 11:54:55.563274,DEV_2169,False,premium,651
U0015,2026-02-20 11:54:55.563279,DEV_5010,False,basic,474
U0016,2025-11-05 11:54:55.563283,DEV_4598,False,premium,333
U0017,2026-04-20 11:54:55.563288,DEV_1525,False,verified,411
U0018,2026-01-01 11:54:55.563294,DEV_6155,True,basic,672
U0019,2025-09-05 11:54:55.563299,DEV_8517,False,basic,272
U0020,2026-03-08 11:54:55.563304,DEV_9830,False,verified,599
U0021,2025-10-11 11:54:55.563309,DEV_7543,False,verified,225
U0022,2026-03-09 11:54:55.563314,DEV_2489,False,basic,113
U0023,2026-03-01 11:54:55.563319,DEV_7916,False,premium,66
U0024,2025-11-02 11:54:55.563324,DEV_8668,False,premium,258
U0025,2025-08-08 11:54:55.563329,DEV_1188,False,premium,118
U0026,2025-06-03 11:54:55.563334,DEV_5371,False,premium,349
U0027,2026-03-22 11:54:55.563339,DEV_3591,False,verified,4
U0028,2026-01-04 11:54:55.563343,DEV_3927,False,premium,109
U0029,2025-07-02 11:54:55.563349,DEV_9317,False,premium,204
U0030,2026-03-01 11:54:55.563354,DEV_3646,False,premium,544
U0031,2026-05-18 11:54:55.563359,DEV_9005,False,basic,115
U0032,2025-11-14 11:54:55.563364,DEV_6038,False,basic,60
U0033,2026-01-15 11:54:55.563370,DEV_2290,False,basic,498
U0034,2026-04-13 11:54:55.563375,DEV_9727,False,basic,132
U0035,2025-06-15 11:54:55.563380,DEV_3705,False,verified,541
U0036,2025-07-12 11:54:55.563385,DEV_4470,False,premium,707
U0037,2026-02-05 11:54:55.563390,DEV_7537,False,premium,666
U0038,2025-11-08 11:54:55.563395,DEV_9479,False,verified,124
U0039,2026-01-12 11:54:55.563399,DEV_6539,False,basic,603
U0040,2025-08-08 11:54:55.563404,DEV_4608,False,basic,73
U0041,2025-05-21 11:54:55.563409,DEV_4750,False,basic,33
U0042,2025-11-30 11:54:55.563414,DEV_4899,True,verified,686
U0043,2025-09-12 11:54:55.563419,DEV_3167,False,premium,585
U0044,2025-07-27 11:54:55.563423,DEV_8749,False,verified,195
U0045,2026-03-31 11:54:55.563428,DEV_8062,True,verified,434
U0046,2025-10-20 11:54:55.563432,DEV_1887,False,premium,670
U0047,2025-06-22 11:54:55.563436,DEV_7596,True,premium,348
U0048,2026-03-24 11:54:55.563441,DEV_4116,False,premium,460
U0049,2026-03-08 11:54:55.563445,DEV_5563,False,verified,256
U0050,2026-04-10 11:54:55.563449,DEV_2604,False,basic,668
U0051,2025-08-15 11:54:55.563454,DEV_2528,False,basic,171
U0052,2025-10-22 11:54:55.563459,DEV_4502,False,verified,61
U0053,2026-02-23 11:54:55.563464,DEV_7396,False,verified,466
U0054,2025-12-23 11:54:55.563469,DEV_8973,False,basic,195
U0055,2025-12-18 11:54:55.563483,DEV_1958,False,premium,556
U0056,2026-04-17 11:54:55.563488,DEV_1936,False,basic,599
U0057,2025-09-16 11:54:55.563493,DEV_9701,False,basic,59
U0058,2025-08-31 11:54:55.563499,DEV_4044,True,basic,610
U0059,2026-04-14 11:54:55.563504,DEV_4853,False,verified,123
U0060,2025-07-31 11:54:55.563508,DEV_1651,False,premium,84
U0061,2025-10-16 11:54:55.563513,DEV_9565,False,verified,268
U0062,2026-02-03 11:54:55.563518,DEV_6147,False,basic,272
U0063,2025-10-28 11:54:55.563522,DEV_5915,False,verified,324
U0064,2026-04-11 11:54:55.563527,DEV_2638,True,basic,551
U0065,2026-01-29 11:54:55.563534,DEV_3170,False,verified,71
U0066,2026-01-13 11:54:55.563539,DEV_3584,False,verified,557
U0067,2025-05-23 11:54:55.563544,DEV_9666,False,basic,684
U0068,2025-08-08 11:54:55.563549,DEV_2697,False,basic,271
U0069,2026-03-20 11:54:55.563554,DEV_3546,False,verified,289
U0070,2025-07-13 11:54:55.563559,DEV_6617,False,basic,704
U0071,2025-06-28 11:54:55.563564,DEV_9280,False,verified,258
U0072,2026-04-22 11:54:55.563568,DEV_7939,True,verified,46
U0073,2026-05-17 11:54:55.563573,DEV_3143,False,premium,269
U0074,2026-02-25 11:54:55.563578,DEV_8007,False,premium,10
U0075,2026-03-22 11:54:55.563583,DEV_3442,True,premium,37
U0076,2025-11-10 11:54:55.563588,DEV_3426,False,verified,131
U0077,2026-04-27 11:54:55.563594,DEV_1653,False,verified,216
U0078,2025-06-03 11:54:55.563599,DEV_2684,False,verified,574
U0079,2025-10-22 11:54:55.563605,DEV_3532,False,basic,167
U0080,2026-02-17 11:54:55.563611,DEV_1406,False,basic,341
U0081,2025-10-20 11:54:55.563616,DEV_5065,False,verified,164
U0082,2025-05-24 11:54:55.563622,DEV_1634,False,verified,228
U0083,2026-02-05 11:54:55.563627,DEV_8541,False,verified,313
U0084,2026-01-22 11:54:55.563631,DEV_4164,False,verified,337
